,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
502,Jefri Kiko Bolkiah Abdul Hakeem,M,23.0,Brunei,BRU,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Skeet,
503,Jefri Kiko Bolkiah Abdul Hakeem,M,27.0,Brunei,BRU,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Skeet,
504,Mohamed Abdul Hamid,M,19.0,Sudan,SUD,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,
505,S. Abdul Hamid,M,,India,IND,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 110 metres Hurdles,
506,S. Abdul Hamid,M,,India,IND,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 400 metres Hurdles,
507,Hadi Abdul Jabbar,M,30.0,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Heavyweight,
508,Hadi Abdul Jabbar,M,34.0,Iraq,IRQ,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Heavyweight,
509,Mohamed Abed Abdul Jawad,M,22.0,Saudi Arabia,KSA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,
510,Anouar Abdul Kader,M,27.0,Syria,SYR,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,
511,Talal Hassoun Abdul Kader,M,,Iraq,IRQ,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Light-Heavyweight,
512,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,
513,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,
514,Taha Abdul Karim,M,20.0,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Lightweight,
515,Masoud Abdul Khamis Al-Rahman,M,17.0,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,
516,Abdul Haji Abdul Latheef,M,17.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,
517,Fatima Abdul Majeed Hameed Al-Kirashi,F,14.0,Bahrain,BRN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,
518,Majed Ahmed Abdul Mohamed,M,26.0,Saudi Arabia,KSA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,
519,Firouz Abdul Mohammadian,M,34.0,Iran,IRI,1976 Summer,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,
520,Hussam Abdul Rahman,M,30.0,Jordan,JOR,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
521,Mohamed Ghulom Abdul Rahman,M,,Bahrain,BRN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
522,Suleman Abdul Rahman,M,29.0,Ethiopia,ETH,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",
523,Zambrose Abdul Rahman,M,24.0,Malaysia,MAS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres Hurdles,
524,Lala Abdul Rashid,M,38.0,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
525,Muhammad Abdul Rashid,M,23.0,Pakistan,PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver
526,Dana Abdul Razak (Hussain-),F,22.0,Iraq,IRQ,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,
527,Dana Abdul Razak (Hussain-),F,26.0,Iraq,IRQ,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,
528,A. Abdul Razzak,M,,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,
529,A. Abdul Razzak,M,,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Triple Jump,
530,Mohamed Abdul Razzak,M,,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's High Jump,
531,Muhammad Abdul Razzaq,M,,Pakistan,PAK,1948 Summer,1948,Summer,London,Hockey,Hockey Men's Hockey,
532,Hazim Abdul Ridha,M,,Iraq,IRQ,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",
533,Rauf Abdul Seoud,M,21.0,Egypt,EGY,1936 Summer,1936,Summer,Berlin,Diving,Diving Men's Platform,
534,Rauf Abdul Seoud,M,33.0,Egypt,EGY,1948 Summer,1948,Summer,London,Diving,Diving Men's Platform,
535,Samir Ahmed Abdul Shakour,M,24.0,Saudi Arabia,KSA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,
536,Nabil Abdul Tahlak,M,39.0,United Arab Emirates,UAE,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Rifle, 10 metres",
537,Fahmi Ahmed Abdul Wahab Al-Tahri,M,23.0,North Yemen,YAR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,
538,Mohamed Abdul Wahab Al-Salah,M,21.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 400 metres Freestyle,
539,Mohamed Abdul Wahab Al-Salah,M,21.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Butterfly,
540,Qazi Abdul Waheed,M,30.0,Pakistan,PAK,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,
541,Patmawati Abdul Wahid,F,32.0,Indonesia,INA,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Lightweight,
542,Haidar Abdul-Amir Hassan,M,21.0,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,
543,Haidar Abdul-Razzaq Hassan,M,22.0,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,
544,"Lawal Kolawole ""Kola"" Abdulai",M,21.0,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,
545,"Lawal Kolawole ""Kola"" Abdulai",M,21.0,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,
546,"Lawal Kolawole ""Kola"" Abdulai",M,25.0,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,
547,"Lawal Kolawole ""Kola"" Abdulai",M,25.0,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,
548,"Rukayatu ""Ruky"" Abdulai",F,22.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Long Jump,
549,Mona Ahmad Abdulaziz Hassanein,F,26.0,Egypt,EGY,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's epee, Individual",
550,Zagalav Abdulbekovich Abdulbekov,M,26.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
551,Roosevelt M. Abdulgafur,M,24.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Freestyle,
552,Roosevelt M. Abdulgafur,M,24.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Freestyle,
553,Roosevelt M. Abdulgafur,M,24.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
554,Roosevelt M. Abdulgafur,M,24.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
555,Roosevelt M. Abdulgafur,M,24.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
556,Ahmed Abdulkareem Ahmed,M,20.0,Iraq,IRQ,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,
557,Gamal Ahmed Abdulla,M,28.0,Egypt,EGY,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,
558,Mohamed Sayed Abdulla,M,18.0,Egypt,EGY,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,
559,Ahmad Hassan Abdullah,M,27.0,Qatar,QAT,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",
560,Ahmed Ghanim Abdullah,M,20.0,Egypt,EGY,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Butterfly,
561,Aquil Hashim Abdullah (Shumate-),M,31.0,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Double Sculls,
562,Atallah Abdullah,M,32.0,Iraq,IRQ,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Middle-Heavyweight,
563,Magdy Ahmed Abdullah,M,25.0,Egypt,EGY,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,
564,Mohamed Abdullah,M,,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
565,Mohamed Abdullah,M,,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
566,Mohamed Abdullah,M,,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Backstroke,
567,Mohamed Abdullah,M,,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Backstroke,
568,Mohamed Abdullah,M,,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Individual Medley,
569,Mohamed Abdullah,M,,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
570,Mohamed Samy Abdullah,M,,United Arab Emirates,UAE,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,
571,Mohamed Abdullah,M,,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Pole Vault,
572,Osama Abdullah,M,21.0,Kuwait,KUW,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,
573,Tewfik Abdullah,M,23.0,Egypt,EGY,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,
574,Wan Azlan Abdullah,M,21.0,Malaysia,MAS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Individual Medley,
575,Wan Azlan Abdullah,M,21.0,Malaysia,MAS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 400 metres Individual Medley,
576,Wan Azlan Abdullah,M,21.0,Malaysia,MAS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
577,Wan Azlan Abdullah,M,25.0,Malaysia,MAS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Individual Medley,
578,Zarinah Abdullah,F,21.0,Singapore,SGP,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Singles,
579,Zarinah Abdullah,F,25.0,Singapore,SGP,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Women's Singles,
580,Abdel Wahab Abdullah Salih,M,,Sudan,SUD,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Light-Middleweight,
581,Abdel Wahab Abdullah Salih,M,,Sudan,SUD,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Middleweight,
582,Abubakar Sadiq Abdullahi,M,28.0,Nigeria,NGR,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Singles,
583,Abdulqdir Abdullayev,M,28.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Heavyweight,
584,Arif Yadulla Abdullayev,M,27.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Freestyle",
585,Arif Yadulla Abdullayev,M,32.0,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Featherweight, Freestyle",
586,Mukhammad Kadyr Abdullayev,M,22.0,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Lightweight,
587,Mukhammad Kadyr Abdullayev,M,26.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold
588,Muminzhon Abdullayev,M,22.0,Uzbekistan,UZB,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
589,Muminzhon Abdullayev,M,26.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
590,Namiq Yadulla Abdullayev,M,25.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
591,Namiq Yadulla Abdullayev,M,29.0,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
592,Namiq Yadulla Abdullayev,M,33.0,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",
593,Laye Abdullayeva,F,21.0,Azerbaijan,AZE,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 5,000 metres",
594,lqar Abdulov,M,27.0,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",
595,Abdullah Abdulrahman Zeyab,M,16.0,Kuwait,KUW,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Freestyle,
596,Abir Abdulrahman Khalil Mahmoud Khalil,F,16.0,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Light-Heavyweight,
597,Abir Abdulrahman Khalil Mahmoud Khalil,F,20.0,Egypt,EGY,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Heavyweight,
598,Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,23.0,United Arab Emirates,UAE,2012 Summer,2012,Summer,London,Football,Football Men's Football,
599,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,20.0,United Arab Emirates,UAE,2012 Summer,2012,Summer,London,Football,Football Men's Football,
600,Shaza Yahia Nazih Abdulrahman El-Sayed,F,15.0,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,
601,Shaza Yahia Nazih Abdulrahman El-Sayed,F,19.0,Egypt,EGY,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Duet,
602,Shaza Yahia Nazih Abdulrahman El-Sayed,F,19.0,Egypt,EGY,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,
603,Najim Abdulrazak Al-Enazy,M,18.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Discus Throw,
604,Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,19.0,Kuwait,KUW,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,
605,Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,23.0,Kuwait,KUW,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,
606,Waheed Abdulridha Waheed Karaawi,M,33.0,Iraq,IRQ,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,
607,Mohamed Abdultwab Ibrahim Abd El-Baki,M,21.0,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Featherweight,
608,Mohamed Abdultwab Ibrahim Abd El-Baki,M,25.0,Egypt,EGY,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Lightweight,
609,Julius Shareef Abdur-Rahim,M,23.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
610,Sherzod Abdurahmonov,M,22.0,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Middleweight,
611,Rasul Abduraim,M,19.0,Kyrgyzstan,KGZ,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,
612,Rasul Abduraim,M,23.0,Kyrgyzstan,KGZ,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Welterweight,
613,Bekzod Makhamadzhonovich Abdurakhmonov,M,26.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Freestyle",
614,Mukhamadmurod Abdurakhmonov,M,29.0,Tajikistan,TJK,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Heavyweight,
615,Adlan Aliyevich Abdurashidov,M,26.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,
616,Yusup Abdusalomov,M,26.0,Tajikistan,TJK,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",
617,Yusup Abdusalomov,M,30.0,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
618,Yusup Abdusalomov,M,34.0,Tajikistan,TJK,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",
619,Fawzi Abdussalam,M,,Libya,LBA,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's Sprint,
620,Andrey Khakimovich Abduvaliyev,M,26.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold
621,Andrey Khakimovich Abduvaliyev,M,34.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Hammer Throw,
622,Dzhamolidin Mirgarifanovich Abduzhaparov,M,24.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",
623,Dzhamolidin Mirgarifanovich Abduzhaparov,M,32.0,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
624,Aybek Abdymomunov,M,18.0,Kyrgyzstan,KGZ,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,
625,Isao Ko Abe,M,24.0,Japan,JPN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Hammer Throw,
630,Kazuo Abe,M,25.0,Japan,JPN,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Lightweight, Freestyle",
631,Kinya Abe,M,23.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Foil, Individual",
632,Kiyoshi Abe,M,25.0,Japan,JPN,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",
638,Naoki Abe,M,23.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,
639,Naoki Abe,M,23.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,
640,Osamu Abe,M,22.0,Japan,JPN,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,
641,Shigeaki Abe,M,24.0,Japan,JPN,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,
642,Shigeaki Abe,M,28.0,Japan,JPN,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,
643,Shinnosuke Abe,M,21.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,
644,Shinnosuke Abe,M,29.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,
645,"Sanshiro ""Sonny"" Abe",M,26.0,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Freestyle",
646,Tadashi Abe,M,21.0,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Fours,
647,Tadashi Abe,M,25.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,
648,Tadashi Abe,M,29.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,
649,Tadatoshi Abe,M,28.0,Japan,JPN,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,
650,Wakako Abe,F,18.0,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Women's Road Race, Individual",
651,Yoshiyuki Abe,M,31.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Road Race, Individual",
652,Yuki Abe,M,22.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,
653,Angelik Abebame,F,,Congo (Brazzaville),CGO,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball,
654,Addis Abebe,M,21.0,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",
655,Addis Abebe,M,21.0,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze
656,Biruk Abebe,M,22.0,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",
657,Biruk Abebe,M,22.0,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,
658,Benaissa Abed,M,23.0,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Flyweight,
659,Soha Abed Elaal,F,35.0,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Archery,Archery Women's Individual,
660,Mojtaba Abedini Shormasti,M,27.0,Iran,IRI,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Sabre, Individual",
661,Mojtaba Abedini Shormasti,M,31.0,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",
662,Thophile Abega Mbida,M,30.0,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,
663,"Max ""Xam"" Abegglen",M,22.0,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,Silver
664,"Max ""Xam"" Abegglen",M,26.0,Switzerland,SUI,1928 Summer,1928,Summer,Amsterdam,Football,Football Men's Football,
665,Alexandre Abeid,M,22.0,Brazil,BRA,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,
666,Alexandre Abeid,M,26.0,Brazil,BRA,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,
667,Sonia Abejn Esteban,F,19.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,
668,Abel Carlos da Silva Braga,M,19.0,Brazil,BRA,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,
669,Adolf Gaston Abel,M,45.0,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",
670,Adolf Gaston Abel,M,45.0,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",
671,Brooke Abel,F,20.0,United States,USA,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,
676,Irene Abel,F,19.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Individual All-Around,
677,Irene Abel,F,19.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Silver
678,Irene Abel,F,19.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Floor Exercise,
679,Irene Abel,F,19.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Horse Vault,
680,Irene Abel,F,19.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Uneven Bars,
681,Irene Abel,F,19.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Balance Beam,
682,Jennifer Abel,F,16.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Diving,Diving Women's Springboard,
683,Jennifer Abel,F,20.0,Canada,CAN,2012 Summer,2012,Summer,London,Diving,Diving Women's Springboard,
684,Jennifer Abel,F,20.0,Canada,CAN,2012 Summer,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze
685,Jennifer Abel,F,24.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Springboard,
686,Jennifer Abel,F,24.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,
687,Katja Abel,F,25.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,
688,Katja Abel,F,25.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,
689,Katja Abel,F,25.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,
690,Katja Abel,F,25.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,
691,Katja Abel,F,25.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,
692,Mara Abel Diguez,F,25.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",
693,Mara Abel Diguez,F,29.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,
694,Roger Abel,M,24.0,Monaco,MON,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
695,Roger Abel,M,36.0,Monaco,MON,1936 Summer,1936,Summer,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
696,Roger Abel,M,36.0,Monaco,MON,1936 Summer,1936,Summer,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
697,Roger Abel,M,48.0,Monaco,MON,1948 Summer,1948,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
698,Roger Abel,M,52.0,Monaco,MON,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
699,Roger Abel,M,52.0,Monaco,MON,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
700,Egil Sten Abel,M,20.0,Fornebo,NOR,1920 Summer,1920,Summer,Antwerpen,Sailing,Sailing Mixed 7 metres,Silver
701,Yaritza Abel Rojas,F,28.0,Cuba,CUB,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Middleweight,
702,Abelardo Fernndez Antua,M,22.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Gold
703,Arthur Abele,M,22.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,
